Designator,Quantity,Value,Footprint,LSCS Part #
"C2,",1,4u7,0603,C19666
"C1, C3,",2,2u2,0603,C23630
"C4-C6, C8, C9,",5,100n,0402,C1525
"C10, C13,",2,12p,0402,C1547
"C11,",1,1u,0402,C52923
"C12, C16,",2,10n,0603, C57112
"C7, C14, C15,",3,10u,1206,C13585
"D1,",1,BLUE,0603, C72041
"D2, D3,",2,B5819W,SOD-123, C8598
"D4,",1,RED,0603, C2286
"F1,",1,250 mA,1206,C369159
"FB1,",1,600 @ 600 MHz,0805,C1017
"L1,",1,39n,0402, C26443
"L2,",1,10u,0503, C139506
"Q1,",1,AO3401A,SOT-23, C15127
"R1,",1,1k5,0603, C22843
"R2,",1,100k,0603, C25803
"R3,",1,68k,0603, C23231
"R4,",1,10k,0402, C25804
"R5, R7,",2,2k2,0402,C4190
"R6,",1,47,0402,C23182
"R8,",1,47k,0603,C25819
"R9,",1,15k,0603,C22809
"R10,",1,270,0603,C22966
"R11,",1,1k,0603,C21190
"U1,",1,STM32F405RGT6,Package_QFP:LQFP-64_10x10mm_P0.5mm,C15742
"U2,",1,MP2359DJ-LF-Z,SOT-23-6L,C14259
"U3,",1,USBLC6-2SC6,SOT-23-6L,C7519
"Y1,",1,16 MHz,SMD-3225_4P,C270482
